40.0	0.851	0.156	
41.0	0.845	0.169	
42.0	0.839	0.180	
43.0	0.833	0.190	
44.0	0.827	0.202	
45.0	0.822	0.218	
46.0	0.817	0.233	
47.0	0.813	0.250	
48.0	0.808	0.270	
49.0	0.804	0.282	
49.59	0.733	0.325	
50.0	0.803	0.300	
51.0	0.804	0.322	
51.66	0.753	0.375	
52.0	0.806	0.343	
53.0	0.811	0.366	
53.91	0.774	0.434	
40.		0.817	0.385	
55.0	0.822	0.408	
56.0	0.829	0.430	
56.36	0.797	0.480	
57.0	0.833	0.450	
58.0	0.843	0.470	
59.0	0.851	0.482	
59.04	0.827	0.530	
60.0	0.862	0.497	
61.99	0.859	0.585	
63.58	0.879	0.613	
65.26	0.902	0.645	
67.01	0.927	0.677	
68.88	0.957	0.712	
69.85	0.975	0.731	
70.85	0.999	0.750	
71.87	1.030	0.763	
72.93	1.072	0.768	
74.02	1.124	0.765	
75.14	1.137	0.755	
76.30	1.156	0.737	
77.49	1.172	0.717	
78.72	1.178	0.703	
79.99	1.172	0.696	
81.30	1.167	0.699	
82.66	1.168	0.711	
84.05	1.175	0.739	
85.51	1.195	0.771	
87.00	1.225	0.799	
88.56	1.265	0.808	
90.17	1.320	0.795	
91.84	1.363	0.775	
93.57	1.371	0.755	
95.37	1.368	0.747	
97.24	1.372	0.766	
99.19	1.383	0.793	
101.2	1.410	0.824	
103.3	1.475	0.861	
105.1	1.554	0.874	
106.9	1.635	0.859	
108.8	1.716	0.810	
110.7	1.766	0.718	
112.7	1.739	0.569	
113.7	1.687	0.565	
114.8	1.587	0.618	
115.9	1.513	0.725	
117.0	1.492	0.914	
118.1	1.567	1.11	
118.7	1.645	1.136	
119.2	1.772	1.13	
119.8	1.919	1.045	
120.4	2.048	0.925	
121.0	2.152	0.810	
121.5	2.240	0.715	
122.8	2.332	0.460	
124.0	2.330	0.323	
125.2	2.292	0.236	
126.5	2.243	0.168	
127.8	2.190	0.119	
129.1	2.140	0.077	
130.5	2.092	0.0561	
131.9	2.047	0.0430	
133.3	2.006	0.0339	
134.8	1.969	0.0271	
136.2	1.935	0.0228	
137.8	1.904	1.89E-02	
139.3	1.876	1.56E-02	
140.9	1.850	1.32E-02	
142.5	1.825	1.09E-02	
144.2	1.803	8.38E-03	
145.9	1.783	5.57E-03	
147.6	1.764	3.17E-03	
149.4	1.747	1.40E-03	
151.2	1.730	4.63E-04	
153.1	1.716	1.22E-04	
155.0	1.702	3.2E-05	
159.0	1.676	4.7E-06	
213.856	1.53429		0.0
214.438	1.53371		0.0
226.747	1.52276		0.0
230.209	1.52009		0.0
237.833	1.51474		0.0
239.938	1.51338		0.0
248.272	1.50841		0.0
265.204	1.50004		0.0
269.885	1.49805		0.0
275.278	1.49592		0.0
280.347	1.49404		0.0
289.360	1.49099		0.0
296.728	1.48873		0.0
302.150	1.48719		0.0
330.259	1.48053		0.0
334.148	1.47976		0.0
340.365	1.47858		0.0
346.620	1.47746		0.0
361.051	1.47512		0.0
365.015	1.47453		0.0
404.656	1.46961		0.0
435.835	1.46669		0.0
467.816	1.46429		0.0
486.133	1.46313		0.0
508.582	1.46187		0.0
546.074	1.46008		0.0
576.959	1.45885		0.0
579.065	1.45877		0.0
587.561	1.45847		0.0
589.262	1.45841		0.0
643.847	1.45671		0.0
656.272	1.45637		0.0
667.815	1.45608		0.0
706.519	1.45515		0.0
852.111	1.45248		0.0
894.350	1.45185		0.0
1013.98	1.45025		0.0
1082.97	1.44941		0.0
1128.66	1.44888		0.0
1362.2	1.44621		0.0
1395.06	1.44584		0.0
1469.5	1.44497		0.0
1529.52	1.44427		0.0
1660.6	1.44267		0.0
1681.	1.44241		0.0
1693.2	1.44226		0.0
1709.13	1.44205		0.0
1813.07	1.44069		0.0
1970.09	1.43851		0.0
2058.1	1.43722		0.0
2152.6	1.43576		0.0
2325.42	1.43292		0.0
2437.4	1.43095		0.0
3243.9	1.41314		0.0
3266.8	1.41253		0.0
3302.6	1.41155		0.0
3422.	1.40819		0.0
3507.0	1.40568		0.0
3556.4	1.40418		0.0
